Item	Price	Points	Meal
Large Iced Coffee	2.79	2000	Drinks
Medium Iced Coffee	2.49	2000	Drinks
XL Premium Roast Coffee	2.29	2000	Drinks
Hash Brown	2.19	2000	Breakfast
Large Premium Roast Coffee	2.02	2000	Drinks
Large Fries	3.99	4000	Lunch
XL Tea	1.94	2000	Drinks
Large French Vanilla Latte	3.79	4000	Drinks
Large Caramel Latte	3.79	4000	Drinks
Medium Premium Roast Coffee	1.86	2000	Drinks
Medium Fries	3.69	4000	Lunch
Vanilla Cone	1.79	2000	Desserts
2 Donuts	1.79	2000	Desserts
Small Iced Coffee	1.79	2000	Drinks
Large Latte	3.39	4000	Drinks
Medium French Vanilla Latte	3.39	4000	Drinks
Medium Caramel Latte	3.39	4000	Drinks
Medium Tea	1.64	2000	Drinks
Large Tea	1.64	2000	Drinks
Quarter Pounder with Cheese Extra Value Meal	10.89	14000	Lunch
Small Premium Roast Coffee	1.54	2000	Drinks
Small Tea	1.54	2000	Drinks
Medium Latte	2.99	4000	Drinks
Small French Vanilla Latte	2.89	4000	Drinks
Small Caramel Latte	2.89	4000	Drinks
Big Mac Extra Value Meal	9.99	14000	Lunch
McChicken Extra Value Meal	9.69	14000	Lunch
Bacon 'N Egg McMuffin	3.99	6000	Breakfast
Sausage 'N Egg McMuffin	3.99	6000	Breakfast
Cheeseburger	2.59	4000	Lunch
Bacon 'N Egg McMuffin Extra Value Meal	6.39	10000	Breakfast
Sausage 'N Egg McMuffin Extra Value Meal	6.39	10000	Breakfast
Egg McMuffin	3.79	6000	Breakfast
Small Latte	2.49	4000	Drinks
Sausage McMuffin	2.49	4000	Breakfast
Egg McMuffin Extra Value Meal	6.19	10000	Breakfast
McCrispy	5.99	10000	Lunch
Small Fries	2.29	4000	Lunch
Big Mac	5.59	10000	Lunch
6 Chicken McNuggets	5.59	10000	Lunch
10 Chicken McNuggets	7.59	14000	Lunch
Happy Meal	4.99	10000	Lunch
Junior Chicken	2.99	6000	Lunch
Snack Size McFlurry	2.99	6000	Desserts
McDouble	2.99	6000	Lunch